商品ID,定位,商品名称,5月均_推广后,6.22-6.28,6.29-7.5,7.6-7.12,7.13-7.19,7.20-8.2_周均,5月均→7.13变化,5月均→7.6变化,6.22→7.13变化,7.6→7.13变化
971242260371,韩式袋面,新品营多捞面韩式辣蘑菇汤面泡面方便面速食干拌面宿舍宵夜旅行,-27.5,-37.0,-48.0,-60.0,-21.0,-15.0,6.5,-32.5,16.0,39.0
744317232690,多规格,营多捞面汤面清香牛肉味方便面泡面速食食品泡面拉面整箱旅行宿舍,-18.5,-4.0,-61.0,8.0,-10.0,-20.0,8.5,26.5,-6.0,-18.0
649731447266,20包经典/牛系列,营多印尼进口营多捞面方便面火鸡面干拌面20包宿舍速食泡面夜宵,3.5,46.0,16.0,36.0,21.0,15.0,17.5,32.5,-25.0,-15.0
898076297965,番茄牛肉,进口正品意面风味奶香番茄牛肉味意式拌面营多捞面早餐儿童宝妈餐,-33.5,-16.0,-13.0,-19.0,-16.0,-9.5,17.5,14.5,0.0,3.0
976466902934,杯面混搭,营多捞面韩式甜辣炸鸡辣蘑菇杯面方便面拌面泡面宿舍速食面,-21.5,-15.0,-3.0,-4.0,-3.0,,18.5,17.5,12.0,1.0
929504658691,巴东牛肉,营多进口新口味巴东炖牛肉味捞面印尼料理方便面泡面捞面夜宵速食,-77.0,-312.0,-194.0,-64.0,-49.0,-39.5,28.0,13.0,263.0,15.0
886856687067,大骨,营多捞面牛系列大骨牛肉味方便面食品泡面拉面汤面宿舍宵夜旅行,1.5,-11.0,4.0,8.0,30.0,-7.5,28.5,6.5,41.0,22.0
976479938842,【U选】原味5,【天猫U选】indomie营多大骨牛肉味捞面拌面5包,-56.5,-8.0,-9.0,-37.0,-22.0,-10.5,34.5,19.5,-14.0,15.0
937005385662,日式袋面,进口营多正品捞面日式鸡肉鸡汤辛辣味袋装泡面辣味速食方便面汤面,-67.5,15.0,1.0,-9.0,-13.0,-34.0,54.5,58.5,-28.0,-4.0
649014937782,24包,印尼营多捞面干拌面一整箱24袋装批发泡面宿舍速食方便面火鸡面,-118.0,-154.0,-164.0,-5.0,-63.0,-117.5,55.0,113.0,91.0,-58.0
969433743398,韩蘑菇,新品营多捞面韩式辣蘑菇汤面泡面方便面速食干拌面宿舍宵夜旅行,-81.5,-7.0,-9.0,0.0,-5.0,3.5,76.5,81.5,2.0,-5.0
735014804839,24/30包,进口营多捞面多口味Indomie网红方便面干拌面泡面30包整箱批发面,-39.5,-5.0,25.0,108.0,79.0,-9.5,118.5,147.5,84.0,-29.0
668566625747,袋面主链接,印尼营多捞面进口网红泡面袋装方便面速食食品拉面火鸡面拌面整箱,-1713.0,-1396.0,-1032.0,-911.0,-1578.0,-314.5,135.0,802.0,-182.0,-667.0
649369494424,24包经典/牛系列,营多捞面干拌面一整箱24袋装批发泡面混搭宿舍速食方便面火鸡面,96.0,-107.0,147.0,457.0,247.0,65.5,151.0,361.0,354.0,-210.0
649735171438,杯面主链接,印尼进口indomie营多捞面杯面速食泡面干拌面盒桶装方便面火鸡面,-1226.0,-1456.0,-1143.0,-1024.0,-963.0,-394.5,263.0,202.0,493.0,61.0
649361890551,袋面次链接,营多捞面印尼进口Indomie网红夜宵早餐方便面火鸡面泡面拌面,-2859.5,-2104.0,-1690.0,-1808.0,-1447.0,-876.5,1412.5,1051.5,657.0,361.0
1014512281808,杯面混搭,营多捞面韩式甜辣炸鸡辣蘑菇杯面方便面拌面泡面宿舍速食面,,,,9.0,,,,,,
1019397839311,多口味混搭,营多捞面原味番茄牛肉袋装泡面汤面干拌面方便面宿舍速食旅行宵夜,-1.0,,,,,,,,,
1040679932754,杯面混搭,印尼进口营多捞面杯面原味甜辣蘑菇味整箱速食拌面拉面泡面方便面,-7.0,,-2.0,,,,,,,
1056927747753,巴东,【新口味】印尼进口营多捞面巴东炖牛肉味泡面方便面宿舍速食宵夜,,,,,,,,,,
1057479227624,巴东牛肉,【新口味】印尼进口营多捞面巴东炖牛肉味泡面方便面宿舍速食宵夜,,-185.0,-469.0,-657.0,-674.0,-306.0,,,-489.0,-17.0
1058280415678,原味大包,印尼进口大大包营多原味捞面5包干拌面速食超大包方便面速食宵夜,,79.0,18.0,29.0,52.0,54.0,,,-27.0,23.0
1059563993918,巴东牛肉,营多进口新口味巴东炖牛肉味捞面印尼料理方便面泡面捞面夜宵速食,,-107.0,-206.0,-50.0,-115.0,-15.0,,,-8.0,-65.0
1060999732877,原味大包,indomie印尼进口营多原味大大包129g捞面方便面速食食品宵夜小吃,,31.0,-28.0,-40.0,-44.0,-25.5,,,-75.0,-4.0
1067957289054,巴东牛肉,【新口味】印尼进口营多捞面巴东炖牛肉味泡面方便面宿舍速食宵夜,,,,,,-5.5,,,,
754828376158,六口味混搭,进口营多捞面汤面拌面六口味混合方便面速食食品泡面,-0.5,,,,,,,,,
773972883430,韩式袋面,营多捞面韩式火鸡面辣蘑菇汤面袋装泡面辣味速食方便面宿舍宵夜面,-3.0,5.0,-1.0,,,,,,,
869217868453,韩式杯面,营多捞面韩式甜辣炸鸡辣蘑菇杯面方便面拌面泡面宿舍速食面,-4.0,2.0,-8.0,6.0,,-5.5,,10.0,,
949962665617,韩式袋面,营多捞面韩式火鸡面辣蘑菇汤面袋装泡面辣味速食方便面宿舍宵夜面,-58.5,,-15.0,-21.0,,,,37.5,,
965545088099,十口味混搭,营多捞面多口味袋装泡面拌面速食面干拌面方便面速食宵夜宿舍旅行,14.0,,7.0,,,5.0,,,,
975092562679,韩式杯面,营多韩式甜辣炸鸡火鸡面辣蘑菇杯面拌面泡面方便面速食宵夜旅行,2.0,0.0,,,,,,,,
