商品ID,定位,商品名称,5.11-5.17,5.25-5.31,6.15-6.21,6.22-6.28,6.29-7.5,7.6-7.12,7.13-7.19,7.20-8.2,是否原味大大相关
969433743398,韩蘑菇,新品营多捞面韩式辣蘑菇汤面泡面方便面速食干拌面宿舍宵夜旅行,-81.0,-82.0,3.0,-7.0,-9.0,0.0,-5.0,7.0,
898120785283,番茄,进口意大利面风味奶香番茄牛肉味意式营多早餐儿童宝妈家庭餐拌面,1.0,-3.0,4.0,1.0,-2.0,-2.0,-4.0,11.0,
916072786304,小规格,营多印尼进口营多捞面方便面火鸡面干拌面10包宿舍速食泡面夜宵,-7.0,0.0,,-3.0,,0.0,-3.0,-2.0,
976467954327,日韩杯面,【天猫U选】indomie营多捞面辣蘑菇味日式辣味杯面,-8.0,-6.0,,-3.0,-6.0,-3.0,-3.0,-13.0,
976466902934,杯面混搭,营多捞面韩式甜辣炸鸡辣蘑菇杯面方便面拌面泡面宿舍速食面,-33.0,-10.0,-6.0,-15.0,-3.0,-4.0,-3.0,,
932687928859,杯面混搭,营多捞面韩式甜辣炸鸡辣蘑菇杯面方便面拌面泡面宿舍速食面,14.0,,7.0,6.0,4.0,13.0,-2.0,7.0,
649729851594,小规格,营多捞面袋装8包装泡面宿舍速食面热干面干拌面方便面火鸡面食品,-5.0,20.0,6.0,-1.0,,8.0,-1.0,8.0,
1019572719528,日韩袋面,新品营多捞面韩式辣蘑菇汤面泡面方便面速食干拌面宿舍宵夜旅行,2.0,,,,3.0,2.0,2.0,,
775016827115,杯面混搭,进口营多原味杯面日式杯面韩式杯面泡面方便面汤面宿舍速食夜宵,,3.0,-1.0,,4.0,4.0,3.0,,
766165464414,12包,营多印尼进口营多捞面方便面火鸡面干拌面12包宿舍速食泡面夜宵,120.0,210.0,84.0,55.0,65.0,129.0,10.0,58.0,
649731447266,20包经典/牛系列,营多印尼进口营多捞面方便面火鸡面干拌面20包宿舍速食泡面夜宵,12.0,-5.0,16.0,46.0,16.0,36.0,21.0,30.0,
886856687067,大骨,营多捞面牛系列大骨牛肉味方便面食品泡面拉面汤面宿舍宵夜旅行,1.0,2.0,-1.0,-11.0,4.0,8.0,30.0,-15.0,
1058280415678,原味大包,印尼进口大大包营多原味捞面5包干拌面速食超大包方便面速食宵夜,,,,79.0,18.0,29.0,52.0,108.0,是
735014804839,24/30包,进口营多捞面多口味Indomie网红方便面干拌面泡面30包整箱批发面,-43.0,-36.0,130.0,-5.0,25.0,108.0,79.0,-19.0,
649369494424,24包经典/牛系列,营多捞面干拌面一整箱24袋装批发泡面混搭宿舍速食方便面火鸡面,102.0,90.0,-77.0,-107.0,147.0,457.0,247.0,131.0,
1014512281808,杯面混搭,营多捞面韩式甜辣炸鸡辣蘑菇杯面方便面拌面泡面宿舍速食面,,,,,,9.0,,,
1019397839311,多口味混搭,营多捞面原味番茄牛肉袋装泡面汤面干拌面方便面宿舍速食旅行宵夜,-1.0,,,,,,,,
1040679932754,杯面混搭,印尼进口营多捞面杯面原味甜辣蘑菇味整箱速食拌面拉面泡面方便面,-7.0,,,,-2.0,,,,
1056927747753,巴东,【新口味】印尼进口营多捞面巴东炖牛肉味泡面方便面宿舍速食宵夜,,,-2.0,,,,,,
1067957289054,巴东牛肉,【新口味】印尼进口营多捞面巴东炖牛肉味泡面方便面宿舍速食宵夜,,,,,,,,-11.0,
754828376158,六口味混搭,进口营多捞面汤面拌面六口味混合方便面速食食品泡面,-1.0,0.0,,,,,,,
773972883430,韩式袋面,营多捞面韩式火鸡面辣蘑菇汤面袋装泡面辣味速食方便面宿舍宵夜面,-13.0,7.0,2.0,5.0,-1.0,,,,
869217868453,韩式杯面,营多捞面韩式甜辣炸鸡辣蘑菇杯面方便面拌面泡面宿舍速食面,-7.0,-1.0,,2.0,-8.0,6.0,,-11.0,
949962665617,韩式袋面,营多捞面韩式火鸡面辣蘑菇汤面袋装泡面辣味速食方便面宿舍宵夜面,-48.0,-69.0,-44.0,,-15.0,-21.0,,,
965545088099,十口味混搭,营多捞面多口味袋装泡面拌面速食面干拌面方便面速食宵夜宿舍旅行,,14.0,,,7.0,,,10.0,
975092562679,韩式杯面,营多韩式甜辣炸鸡火鸡面辣蘑菇杯面拌面泡面方便面速食宵夜旅行,,2.0,11.0,0.0,,,,,
