id,定位,商品名称,商品ID,5.11-5.17环比,5.25-5.31环比,6.15-6.21环比,6.22-6.28环比,6.29-7.5环比,7.6-7.12环比,7.13-7.19环比,7.20-8.2环比
766165464414,12包,营多印尼进口营多捞面方便面火鸡面干拌面12包宿舍速食泡面夜宵,766165464414,,90.0,-126.0,-29.0,10.0,64.0,-119.0,48.0
773972883430,韩式袋面,营多捞面韩式火鸡面辣蘑菇汤面袋装泡面辣味速食方便面宿舍宵夜面,773972883430,,20.0,-5.0,3.0,-6.0,,,
775016827115,杯面混搭,进口营多原味杯面日式杯面韩式杯面泡面方便面汤面宿舍速食夜宵,775016827115,,,-4.0,,,0.0,-1.0,
869217868453,韩式杯面,营多捞面韩式甜辣炸鸡辣蘑菇杯面方便面拌面泡面宿舍速食面,869217868453,,6.0,,,-10.0,14.0,,
885645733215,大骨牛肉,进口营多大骨番茄牛肉味营多捞面意式泡面宿舍宿舍宵夜速食方便面,885645733215,,3.0,-5.0,-6.0,5.0,-1.0,-1.0,
886856687067,大骨,营多捞面牛系列大骨牛肉味方便面食品泡面拉面汤面宿舍宵夜旅行,886856687067,,1.0,-3.0,-10.0,15.0,4.0,22.0,-45.0
898076297965,番茄牛肉,进口正品意面风味奶香番茄牛肉味意式拌面营多捞面早餐儿童宝妈餐,898076297965,,45.0,-2.0,-3.0,3.0,-6.0,3.0,-3.0
898120785283,番茄,进口意大利面风味奶香番茄牛肉味意式营多早餐儿童宝妈家庭餐拌面,898120785283,,-4.0,7.0,-3.0,-3.0,0.0,-2.0,15.0
903183018417,七口味混搭,进口营多捞面汤面拌面七口味混合方便面速拉面宿舍拌面泡面食食品,903183018417,,-10.0,21.0,-10.0,-3.0,-12.0,7.0,9.0
916072786304,小规格,营多印尼进口营多捞面方便面火鸡面干拌面10包宿舍速食泡面夜宵,916072786304,,7.0,,,,,-3.0,1.0
929504658691,巴东牛肉,营多进口新口味巴东炖牛肉味捞面印尼料理方便面泡面捞面夜宵速食,929504658691,,-36.0,-231.0,14.0,118.0,130.0,15.0,-30.0
932687928859,杯面混搭,营多捞面韩式甜辣炸鸡辣蘑菇杯面方便面拌面泡面宿舍速食面,932687928859,,,,-1.0,-2.0,9.0,-15.0,9.0
937005385662,日式袋面,进口营多正品捞面日式鸡肉鸡汤辛辣味袋装泡面辣味速食方便面汤面,937005385662,,83.0,-8.0,49.0,-14.0,-10.0,-4.0,-55.0
947413291596,杯面混搭,印尼进口营多捞面杯面原味甜辣蘑菇味整箱速食拌面拉面泡面方便面,947413291596,,-5.0,0.0,4.0,-3.0,-5.0,-1.0,10.0
949962665617,韩式袋面,营多捞面韩式火鸡面辣蘑菇汤面袋装泡面辣味速食方便面宿舍宵夜面,949962665617,,-21.0,25.0,,,-6.0,,
965545088099,十口味混搭,营多捞面多口味袋装泡面拌面速食面干拌面方便面速食宵夜宿舍旅行,965545088099,,,,,,,,
969423151512,日韩混搭,营多捞面甜辣炸鸡火鸡面辣蘑菇泡面方便面速食干拌面宿舍宵夜旅行,969423151512,,0.0,-20.0,-9.0,-42.0,67.0,-10.0,-35.0
969433743398,韩蘑菇,新品营多捞面韩式辣蘑菇汤面泡面方便面速食干拌面宿舍宵夜旅行,969433743398,,-1.0,85.0,-10.0,-2.0,9.0,-5.0,12.0
971242260371,韩式袋面,新品营多捞面韩式辣蘑菇汤面泡面方便面速食干拌面宿舍宵夜旅行,971242260371,,-57.0,46.0,-27.0,-11.0,-12.0,39.0,-9.0
975092562679,韩式杯面,营多韩式甜辣炸鸡火鸡面辣蘑菇杯面拌面泡面方便面速食宵夜旅行,975092562679,,,9.0,-11.0,,,,
976466902934,杯面混搭,营多捞面韩式甜辣炸鸡辣蘑菇杯面方便面拌面泡面宿舍速食面,976466902934,,23.0,4.0,-9.0,12.0,-1.0,1.0,
976467954327,日韩杯面,【天猫U选】indomie营多捞面辣蘑菇味日式辣味杯面,976467954327,,2.0,,,-3.0,3.0,0.0,-10.0
976479938842,【U选】原味5,【天猫U选】indomie营多大骨牛肉味捞面拌面5包,976479938842,,73.0,-14.0,26.0,-1.0,-28.0,15.0,1.0
